date,메이플스토리M,검은사막 모바일,마비노기 모바일,아이온2
2023-07-31,0.63389,0.28968,0.08752,0.03166
2023-08-07,0.56249,0.28742,0.08827,0.19712
2023-08-14,0.47539,0.24164,0.0881,0.18201
2023-08-21,0.51571,0.30892,0.08189,0.12716
2023-08-28,0.40459,0.46044,0.08474,0.09339
2023-09-04,0.35763,0.3237,0.08189,0.0939
2023-09-11,0.34058,0.4622,0.0808,0.06576
2023-09-18,1.11264,0.33932,0.08424,0.06333
2023-09-25,0.37049,0.37426,0.08399,0.07139
2023-10-02,0.3064,0.29288,0.09667,0.06366
2023-10-09,0.40929,0.24794,0.11515,0.06165
2023-10-16,1.25795,0.20225,0.10717,0.05207
2023-10-23,0.5089,0.19838,0.11448,0.06778
2023-10-30,0.38224,0.18495,0.11145,0.06106
2023-11-06,0.36662,0.17604,0.11263,0.06022
2023-11-13,0.42155,0.17294,0.13069,0.06442
2023-11-20,0.35612,0.15824,0.11254,0.05518
2023-11-27,0.33672,0.14312,0.10977,0.03939
2023-12-04,0.32269,0.14329,0.12128,0.0897
2023-12-11,0.68764,0.1831,0.10515,0.06584
2023-12-18,0.41273,0.34067,0.08113,0.04359
2023-12-25,0.46968,0.32941,0.08684,0.03687
2024-01-01,0.51058,0.22795,0.09003,0.04695
2024-01-08,0.84235,0.20653,0.08844,0.05971
2024-01-15,0.64716,0.19788,0.08147,0.15647
2024-01-22,0.60533,0.20384,0.07592,0.08273
2024-01-29,0.50907,0.19813,0.07525,0.05375
2024-02-05,0.59424,0.18906,0.07349,0.05005
2024-02-12,0.47934,0.15278,0.06988,0.09129
2024-02-19,0.40853,0.19074,0.06862,0.06383
2024-02-26,0.38653,0.26944,0.0797,0.06005
2024-03-04,0.52822,0.19326,0.08432,0.05703
2024-03-11,0.31782,0.16395,0.07668,0.05182
2024-03-18,0.30909,0.13136,0.07256,0.05829
2024-03-25,0.30548,0.12808,0.0703,0.07231
2024-04-01,0.68512,0.28884,0.06475,0.08222
2024-04-08,0.49891,0.21544,0.0603,0.07962
2024-04-15,0.37788,0.16899,0.07198,0.13178
2024-04-22,0.27826,0.17638,0.07088,0.08575
2024-04-29,0.30749,0.15975,0.06601,0.06912
2024-05-06,0.24072,0.1553,0.06954,0.0897
2024-05-13,0.22644,0.12817,0.07609,0.08945
2024-05-20,0.23425,0.12674,0.08147,0.12338
2024-05-27,0.30615,0.11985,0.07576,0.09003
2024-06-03,0.29582,0.15504,0.08273,0.06836
2024-06-10,0.24441,0.13052,0.08407,0.06089
2024-06-17,0.37015,0.12632,0.09247,0.05199
2024-06-24,0.60491,0.13766,0.0834,0.05619
2024-07-01,0.38518,0.14774,0.08189,0.05014
2024-07-08,0.33067,0.15756,0.08474,0.10297
2024-07-15,0.52394,0.15622,0.08592,0.08718
2024-07-22,0.71956,0.16067,0.08432,0.22451
2024-07-29,0.48656,0.25021,0.07744,0.0671
2024-08-05,0.36536,0.18016,0.09087,0.07366
2024-08-12,0.31051,0.17907,0.09045,0.06635
2024-08-19,0.32538,0.14463,0.08793,0.07668
2024-08-26,0.26776,0.15135,0.08567,0.07601
2024-09-02,0.2408,0.13421,0.08617,0.05459
2024-09-09,0.26071,0.14371,0.07634,0.05761
2024-09-16,0.28238,0.12052,0.05745,0.0477
2024-09-23,0.35159,0.13371,0.06265,0.05266
2024-09-30,0.2807,0.12624,0.05677,0.04703
2024-10-07,0.38527,0.14522,0.06752,0.05115
2024-10-14,0.30783,0.17092,0.08441,0.04921
2024-10-21,0.40064,0.15983,0.06215,0.07223
2024-10-28,0.31606,0.14807,0.1296,0.0687
