date,메이플스토리M,검은사막 모바일,마비노기 모바일,아이온2
2025-11-17,0.20536,0.12187,6.81127,100.0
2025-11-24,0.20485,0.19057,6.25213,50.82677
2025-12-01,0.24475,0.19738,5.94825,32.90483
2025-12-08,0.25306,0.22963,5.68821,27.07937
2025-12-15,0.56022,0.2597,9.43258,20.74257
2025-12-22,0.33916,0.16176,3.4593,23.3617
2025-12-29,0.2303,0.1322,4.5827,16.42973
2026-01-05,0.20368,0.10499,3.10032,14.55427
2026-01-12,0.26902,0.15748,5.49788,16.65441
2026-01-19,0.18091,0.09323,2.73974,20.59525
2026-01-26,0.17898,0.0871,2.97576,13.63816
2026-02-02,0.19116,0.09255,3.24966,11.48469
2026-02-09,0.30069,0.24651,5.61782,20.935
2026-02-16,0.17159,0.22661,1.8186,7.71234
2026-02-23,0.14488,0.28145,2.94317,12.75154
2026-03-02,0.12195,1.09324,2.00372,8.74864
2026-03-09,0.14303,0.44347,3.50877,9.26527
2026-03-16,0.20527,0.35495,2.32809,10.26411
2026-03-23,0.13489,0.25567,5.98336,15.29726
2026-03-30,0.12346,0.213,3.27654,9.97014
2026-04-06,0.17092,0.17176,2.4162,13.40441
2026-04-13,0.20477,0.1348,2.33095,8.56814
2026-04-20,0.12296,0.1238,3.88229,16.55564
2026-04-27,0.11515,0.11103,1.9492,11.13813
2026-05-04,0.12548,0.11406,1.34631,6.33478
2026-05-11,0.13539,0.0986,1.72511,8.43887
2026-05-18,0.1684,0.10305,2.52447,6.43465
2026-05-25,0.13153,0.09272,2.33305,6.32109
2026-06-01,0.1212,0.09323,2.28123,7.54377
2026-06-08,0.15127,0.08903,2.34867,7.12036
2026-06-15,0.20981,0.08651,3.21615,8.96097
2026-06-22,0.149,0.1432,6.62422,6.41298
2026-06-29,0.1595,0.10196,4.06892,11.90204
2026-07-06,0.16739,0.13959,2.39957,6.63774
2026-07-13,0.38812,0.12052,2.66532,8.05612
2026-07-20,0.53788,0.10154,2.10207,6.88308
2026-07-27,0.89888,0.10919,1.79365,6.26439
2026-08-03,0.3258,0.10625,1.67825,5.19794
2026-08-10,0.2093,0.09877,2.77141,5.01736
